#;Indicator_BHS;Indicator English;Focus Group;Concept;M;F;Y;Total;Code_1;Code_2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-M;Imp-F;Imp-Y;Imp-Cat1;Imp-Cat2
182;Policija ulazi u sve dijelove grada.;Police are entering all parts of the city.;women;peace;0;2;0;2;5.3;;;5;3;Interactions;0;0;0;Armed Actors;0;-2;0;0.826086957;0;2.124223602;0;0.96;0
181;Policija sprečava kriminal u Podhumu.;Police prevent criminal activities in Podhum;women;peace;1;0;0;1;5.3;;;5;3;Interactions;0;0;0;Armed Actors;0;1;0;0.413043478;1.838709677;0;0;0.48;0
297;U soliteru u Franjevačkoj ulici žive i Srbi i Hrvati i Bošnjaci;Serbs, Croats and Bosniaks live together in the apartment building in Franjevačka street;women;peace;1;1;1;3;6;6.9;;6;0;Social Relations;6;9;Ethno-religious identity;Culture & Society;Culture & Society;;;1.239130435;1.838709677;1.062111801;1.06875;1.065217391;1.065217391
72;Komšija je vrijedniji nego rođeni brat, jer može odmah doći u slučaju potrebe.;A neighbour is worth more than one's own brother, because they can always come in the time of need;men;peace;0;1;0;1;6.1;6.12;;6;10;Us V Them;6;12;Neighbor Relations;Culture & Society;Culture & Society;-1;0;0.413043478;0;1.062111801;0;0.355072464;0.355072464
60;Kada ljudi, ako im je potreban novac, pitaju;When people, if money is of importance to them, ask for it.;youth;peace;1;0;0;1;6.1;6.3;;6;10;Us V Them;6;3;Social Trust;Culture & Society;Culture & Society;1;0;0.413043478;1.838709677;0;0;0.355072464;0.355072464
1;Bošnjaci i Hrvati u Mostaru se ne moraju slagati oko mišljenja, ali mogu naći zajednički jezik.;Bosniaks and Croats don't have to agree on everything, but can find a common language;men;peace;0;5;2;7;6.1;6.9;;6;10;Us V Them;6;9;Ethno-religious identity;Culture & Society;Culture & Society;-5;0;2.891304348;0;5.310559006;2.1375;2.485507246;2.485507246
56;Ja nisam okružena nacionalnim podjelama;I am not surrounded by divisions based on nationality;women;peace;0;1;2;3;6.1;6.9;;6;10;Us V Them;6;9;Ethno-religious identity;Culture & Society;Culture & Society;-1;0;1.239130435;0;1.062111801;2.1375;1.065217391;1.065217391
206;Prestalo se pričati o mržnji;Hatred is not the topic anymore;youth;peace;0;1;3;4;6.1;7.6;;6;10;Us V Them;7;6;Intergroup;Culture & Society;Dealing with the Past;-1;0;1.652173913;0;1.062111801;3.20625;1.420289855;0.947368421
307;Verbalne uvrede među narodima nestaju u novijim generacijama;Verbal insults among people of different ethnic groups disappear with younger generations;youth;peace;3;0;5;8;6.1;15.5;;6;10;Us V Them;15;5;Inclusion;Culture & Society;Culture & Society;;;3.304347826;5.516129032;0;5.34375;2.84057971;2.028169014
74;Komšije/susjedi se u Podhumu druže kao prije rata.;Neighbours still socialize in Podhum as before the war;women;peace;2;1;0;3;6.12;11.4;;6;12;Neighbor Relations;11;4;Informal;Culture & Society;Culture & Society;1;0;1.239130435;3.677419355;1.062111801;0;1.065217391;1.32
57;Jednako se lijepo družim i sa Matijom i sa Muhamedom;I hang out equally well with Matthias and Muhammad;youth;peace;1;0;1;2;6.2;6.9;;6;2;Personal Relationships;6;9;Ethno-religious identity;Culture & Society;Culture & Society;1;0;0.826086957;1.838709677;0;1.06875;0.710144928;0.710144928
