#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
104;Ružno je kad neko pita na kojoj strani Mostara neka osoba živi;It is ugly when someone asks what side of Mostar some individual lives on.;women;peace;2.0;;1.0;3;6.0;7.6;;6;0.0;Social Relations;7;6.0;Intergroup;Culture & Society;Dealing with the Past;2.0;1.0;0.792043;1.512953;0.0;0.890244;0.131453;0.906977
105;Ako neko zove Bajram, a drugi zove Božić nije bitno, bitno je da ljudi slave zajedno i da se druže jer kada je to narušeno, dolazi do nemira iljudi su u strahu.;"It is not important whether one names it Eid or Christmas; what is important is that people celebrate together and socialize because when that is disrupted, uneasiness and fear in people can be created.";women;peace;;2.0;1.0;3;14.2;1.1;;14;2.0;Interfaith relations;1;10.0;Personal value;Culture & Society;Culture & Society;;;0.792043;0.0;1.489796;0.890244;2.28125;0.678261
106;Prva stvar koju država treba riješiti je otpad;The first thing that the state needs to solve is trash.;youth;peace;;3.0;;3;18.1;10.6;;18;10.0;Waste management Services;10;6.0;Public utilities;Rights & Dignity;Rights & Dignity;-3.0;3.0;0.792043;0.0;2.234694;0.0;0.365;0.868421
107;U Blagaju postoje više rasvjete;In Blagaj there exists more lighting.;youth;peace;1.0;1.0;1.0;3;17.3;;;17;3.0;Public Lighting;0;0;0;Economic Activity & Livelihoods;0;0.0;1.0;0.792043;0.756477;0.744898;0.890244;0.715686;0.0
108;U Blagaju postoji sva potrebna infrastruktura;In Blagaj there exists all of the essential infrastructure.;men;peace;;3.0;;3;17.0;;;17;0.0;Infrastructure;0;0;0;Economic Activity & Livelihoods;0;-3.0;3.0;0.792043;0.0;2.234694;0.0;0.715686;0.0
109;Sigurnost poteče iz politike;Security comes from politics.;youth;peace;;3.0;;3;2.2;9.0;;2;2.0;Confidence;9;00:00:00;Governance;Security;Rights & Dignity;-3.0;3.0;0.792043;0.0;2.234694;0.0;0.422372;0.69863
110;Policija bi trebala biti 24 sata na ulici;The police should be 24 hours on the street.;youth;peace;2.0;1.0;;3;5.0;;;5;0.0;Police;0;0;0;Armed Actors;0;1.0;1.0;0.792043;1.512953;0.744898;0.0;3.981818;0.0
111;Policija bi trebala zaštititi sve stanovnike;The police should protect all residents.;youth;peace;2.0;;1.0;3;5.0;2.2;;5;0.0;Police;2;2.0;Confidence;Armed Actors;Security;2.0;1.0;0.792043;1.512953;0.0;0.890244;3.981818;0.836066
112;Ljudi imaju slobodu da biraju na izborima;People have the right to choose in elections;women;peace;1.0;;2.0;3;9.3;;;9;3.0;Political functionality;0;0;0;Rights & Dignity;0;1.0;1.0;0.792043;0.756477;0.0;1.780488;0.352941;0.0
113;Mladi ljudi ne odlaze u inostranstvo;Young people do not go abroad.;men;peace;3.0;;;3;15.0;2.2;;15;0.0;Youth;2;2.0;Confidence;Culture & Society;Security;;;0.792043;2.26943;0.0;0.0;0.536765;0.836066
