#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
100;Političari su riješili problem manjka policajaca u HNK;Politicians have solved the problem of the lack of police officers in HNK;men;peace;2.0;2.0;;4;9.0;5.0;;9;0.0;Governance;5;0;Police;Rights & Dignity;Armed Actors;0;2;0.953757;1.149826;1.875;0.0;0.557432;0.816327
101;Nasilnici se sankcionišu novčano.;Bullies are sanctioned with fines.;men;peace;3.0;1.0;;4;4.4;;;4;4.0;Violent Crime;0;0;0;Rights & Dignity;0;2;1;0.953757;1.724739;0.9375;0.0;0.106813;0.0
102;Ljudi se ne suoče sa 100 problema, kada treba da izvade 1 papir;People do not face 100 problems when they need to get 1 piece of paper;women;peace;1.0;2.0;1.0;4;9.3;;;9;3.0;Political functionality;0;0;0;Rights & Dignity;0;-1;1;0.953757;0.574913;1.875;0.720524;0.557432;0.0
103;Auta se ne parkiraju kod „Korza“ pa druga auta mogu tuda proći;Cars aren’t parked near Korzo and others can easily pass.;youth;peace;1.0;1.0;2.0;4;21.1;;;21;10.0;Parking;0;0;0;Culture & Society;0;0;1;0.953757;0.574913;0.9375;1.441048;0.554622;0.0
104;Učitelji reaguju kada se djeca rugaju drugoj djeci;Teachers react when some children make fun of others.;women;peace;1.0;1.0;2.0;4;19.0;15.0;;19;0.0;Education;15;0;Youth;Rights & Dignity;Culture & Society;0;1;0.953757;0.574913;0.9375;1.441048;2.66129;1.128205
105;U Mostaru postoji konkretan plan za suzbijanje huliganizma, jer je postavljen komesar policije;There is a concrete plan in Mostar to suppress hooliganism, because a police commissioner has been appointed.;youth;peace;2.0;;2.0;4;5.0;4.1;;5;0.0;Police;4;10.0;Sport & Hooliganism;Armed Actors;Rights & Dignity;2;2;0.953757;1.149826;0.0;1.441048;0.336735;0.886228
106;U naselju Bulevar se ne preprodaje droga;In Bulevar nobody is reselling narcotics.;men;peace;4.0;;;4;16.0;;;16;0.0;Drugs & Alcohol;0;00:00:00;0;Rights & Dignity;0;4;4;0.953757;2.299652;0.0;0.0;0.540541;0.0
107;Niko ne napada na imovinu osoba koje rade u MUP-u na poslovima hvatanja dilera;Nobody is invading a person’s property while the police is trying to catch the drug dealers.;men;peace;2.0;2.0;;4;16.2;4.3;;16;2.0;Policing;4;3.0;Non-violent Crime;Rights & Dignity;Rights & Dignity;0;2;0.953757;1.149826;1.875;0.0;0.540541;0.886228
108;Policija češće prolazi automobilom kroz Bulevar i Cernicu;A police car passes more often through Bulevar and Cernica.;women;peace;3.0;;1.0;4;5.2;;;5;2.0;Interactions;0;0;0;Armed Actors;0;3;1;0.953757;1.724739;0.0;0.720524;0.336735;0.0
109;Komšije reaguju ako čuju da se pljačka stan u njihovoj zgradi;The neighbors react if they see that someone’s apartment in their building is being robbed.;women;peace;2.0;1.0;1.0;4;4.3;6.1;2022-02-14 00:00:00;4;3.0;Non-violent Crime;6;10.0;Us V Them;Rights & Dignity;Culture & Society;1;1;0.953757;1.149826;0.9375;0.720524;0.106813;0.885246
128;Navijači Zrinjskog ne dolaze na Bulevar, pa djeca ne razmišljaju kako će najbrže pobjeći iz parka u Cernicu;Zrinjski fans don’t come to Bulevar, so the children don't have to think how they can run the quickest out of the park in Cernica.;youth;peace;2.0;;1.0;3;4.1;2.2;;4;10.0;Sport & Hooliganism;2;2.0;Confidence;Rights & Dignity;Security;2;1;0.715318;1.149826;0.0;0.720524;0.08011;0.944444
129;Djeca i mladi s Bulevara i iz Cernice su pravili golove za teren;Children and youth from Bulevar and Cernica make goals for a soccer field.;youth;peace;2.0;;1.0;3;15.1;12.1;;15;10.0;Engagement;12;10.0;Facilities;Culture & Society;Culture & Society;2;1;0.715318;1.149826;0.0;0.720524;0.288462;0.545455
130;Inicijativa, koju je pokrenula teta Inga, da se osvijetli igralište, je odobrena;Miss Inga launched an initiative to illuminate the playground and it was approved.;youth;peace;1.0;1.0;1.0;3;6.4;17.3;;6;4.0;Activism;17;3.0;Public Lighting;Culture & Society;Economic Activity & Livelihoods;0;1;0.715318;0.574913;0.9375;0.720524;0.150273;0.290323
131;Ljudi nisu izolirani u 4 zida pa ne stvaraju predrasude o osobama koje ne poznaju;People are not isolated within 4 walls so they don’t develop prejudices about others that they don’t know.;youth;peace;3.0;;;3;1.0;11.3;;1;0.0;Integration and Acceptance;11;3.0;Individual Leisure;Culture & Society;Culture & Society;3;3;0.715318;1.724739;0.0;0.0;3.055556;1.5
132;Organizacija „Novi most“ je povezala mlade s Bulevara i iz Cernice, jer ih je vodila na Karting, na palačinke;The association “Novi Most” had connected the young people from Bulevar and Cernica, because the association had taken them cart racing and to eat pancakes.;youth;peace;1.0;1.0;1.0;3;9.7;15.0;;9;7.0;Citizens' associations;15;0;Youth;Rights & Dignity;Culture & Society;0;1;0.715318;0.574913;0.9375;0.720524;0.418074;0.846154
133;Stanari imaju neometan miran san jer ispod prozora nema galame tokom noći;The tenants have an uninterrupted, peaceful dreams because there is no yelling beneath their windows throughout the night.;women;peace;2.0;;1.0;3;3.0;;;3;0.0;Public space;0;0;0;Culture & Society;0;2;1;0.715318;1.149826;0.0;0.720524;0.180921;0.0
134;Na prometnoj magistrali na Bulevaru je postavljen radar.;There is traffic radar on the main road in Bulevar.;verifi.;peace;1.0;2.0;;3;21.2;;;21;2.0;Traffic;0;0;0;Culture & Society;0;-1;1;0.715318;0.574913;1.875;0.0;0.415966;0.0
135;U prostorijama MZ postoji kancelarija za dežurnog policajca;There is on duty police officer in front of the local community council’s (MZ) premises.;men;peace;2.0;1.0;;3;9.6;5.2;;9;6.0;Mjesna zajednica;5;2.0;Interactions;Rights & Dignity;Armed Actors;1;1;0.715318;1.149826;0.9375;0.0;0.418074;0.612245
