#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
145;Oborinske vode s Fortice se ne slijevaju u Donji Zalik, jer na magistrali ima odvod.;Rainwater from Fortica does not flow into Donji Zalik, because there is a drain on the highway.;men;life together;1.0;4.0;;5;17.1;10.6;;17;10.0;Roads;10;6.0;Public utilities;Economic Activity & Livelihoods;Rights & Dignity;-3.0;1.0;0.992239;0.675472;3.768421;0.0;0.805581;0.846154
146;U Starom gradu redovno se odvozi smeće koje turisti ostavljaju ljeti, kako trgovci ne bi morali od smrada zatvarati prozore kad je vani 40 stepeni.;In the Old Town, garbage that tourists leave in the summer is regularly removed, so that workers would not have to close their windows because of the stench when it is 40 degrees celsius outside.;women;life together;2.0;;3.0;5;20.4;10.6;;20;4.0;Tourism;10;6.0;Public utilities;Economic Activity & Livelihoods;Rights & Dignity;2.0;2.0;0.992239;1.350943;0.0;1.201342;0.692724;0.846154
147;Ljudi ne idu na izbore samo da glasaju, nego da biraju.;People don't go to elections just to vote, but to choose.;men;life together;;;5.0;5;9.3;;;9;3.0;Political functionality;0;0;0;Rights & Dignity;0;0.0;5.0;0.992239;0.0;0.0;2.002237;0.608844;0.0
148;Ima mladih ljudi u Mostaru koji žele biti keramičari, a ne doktori.;There are young people in Mostar who want to be tile installers, not doctors.;women;life together;;;5.0;5;15.4;19.0;;15;4.0;Livelihoods;19;00:00:00;Education;Culture & Society;Rights & Dignity;0.0;5.0;0.992239;0.0;0.0;2.002237;0.328079;1.081081
149;"Svi u Mostaru ""imaju nešto u džepu,"" pa su svi zadovoljni.";"Everyone in Mostar ""has something in their pockets"", so everyone is pleased.";women;life together;2.0;3.0;;5;20.8;;;20;8.0;Livelihoods;0;0;0;Economic Activity & Livelihoods;0;-1.0;2.0;0.992239;1.350943;2.826316;0.0;0.692724;0.0
150;Ljudi koji žive u soliteru ne dovode djecu autom u školu.;People who live in the Zalik's highrise don't drive their kids to school.;youth;life together;1.0;;4.0;5;15.2;2.3;2022-02-12 00:00:00;15;2.0;Infrastructure;2;3.0;Movement;Culture & Society;Security;1.0;1.0;0.992239;0.675472;0.0;1.60179;0.328079;0.932203
151;Vjeronauka u školi radi na moralnom razvoju ličnosti.;Religious education at school works on the moral development of the personality.;men;life together;4.0;;1.0;5;14.1;19.0;;14;10.0;Religious education;19;0;Education;Culture & Society;Rights & Dignity;4.0;1.0;0.992239;2.701887;0.0;0.400447;8.287037;1.081081
152;Čovjek, koji je bio u Armiji BiH je išao i u istočnu i u zapadnu Hercegovnu, i nikad nije imao problema.;A man, who was in the Army of the Republic of Bosnia and Herzegovina, went to both east and west Herzegovina and never had any problems.;women;life together;3.0;2.0;;5;2.3;7.0;;2;3.0;Movement;7;0;Legacies of War;Security;Dealing with the Past;;;0.992239;2.026415;1.884211;0.0;1.379045;1.666667
153;Mladi sa istočne strane izlaze u Black;Young people from the east side go to Cocktail and Lounge Bar Black Pearl.;youth;life together;;2.0;3.0;5;11.1;2.3;;11;10.0;Cafes and Space;2;3.0;Movement;Culture & Society;Security;-2.0;2.0;0.992239;0.0;1.884211;1.201342;0.335583;0.932203
154;Ljudi, čija egzistencija nije ugrožena, nisu opterećeni nacionalnim problemima.;People, whose existence is not endangered, are not burdened with problems regarding different nationalities.;women;life together;2.0;1.0;2.0;5;20.8;8.0;;20;8.0;Livelihoods;8;0;Nationalism;Economic Activity & Livelihoods;Culture & Society;1.0;1.0;0.992239;1.350943;0.942105;0.800895;0.692724;0.740741
176;Mladi momak iznese komšiji drva.;The young man brought wood to the neighbor.;youth;life together;;1.0;3.0;4;6.6;6.1;2022-02-14 00:00:00;6;6.0;Inter-generational Relations;6;10.0;Us V Them;Culture & Society;Culture & Society;-1.0;1.0;0.793792;0.0;0.942105;1.201342;0.065091;0.704
