#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
162;Mladi se zimi druže u kafićima, jer je hladno.;Because it is chilly in the winter, young people prefer to spend their time in cafés.;men;life together;;1.0;2.0;3;11.1;15.0;;11;10.0;Cafes and Space;15;0;Youth;Culture & Society;Culture & Society;-1;1;0.811765;0.0;1.022222;1.175719;0.048294;0.481481
163;Djevojka sa Bijelog Brijega odrasla je s ljudima u svom susjedstvu.;A young woman from Bijelo Brijeg grew up among her neighbors.;youth;life together;2.0;;1.0;3;6.12;22.0;;6;12.0;Neighbor Relations;22;00:00:00;Gender;Culture & Society;Culture & Society;2;1;0.811765;2.033149;0.0;0.587859;0.06323;1.0
164;Iako nemaju neku korist zbog toga, obitelj sa Bijelog Brijega pomaže dvije bake koje nemaju nikog svog.;Despite receiving no financial gain, the Bijelo Brijeg family is assisting two grandmothers who are alone.;youth;life together;2.0;;1.0;3;6.1;6.6;2022-02-14;6;10.0;Us V Them;6;6.0;Inter-generational Relations;Culture & Society;Culture & Society;2;1;0.811765;2.033149;0.0;0.587859;0.06323;0.695876
165;Svi plesni klubovi u Mostaru dolaze u Mepas na “ples za stop nasilju nad ženama”. (One Billion Rising);"All of Mostar's dance clubs gather at Mepas for a ""dance to stop violence against women."" (One Billion Rising)";youth;life together;;;3.0;3;22.2;11.4;;22;2.0;Gender based violence;11;4.0;Informal;Culture & Society;Culture & Society;0;3;0.811765;0.0;0.0;1.763578;46.0;0.531496
166;Stariji ljudi u Mostaru ne pitaju zašto mlađi koriste preparate za lice umjesto kozjeg mlijeka.;In Mostar, the elderly do not question why younger people use facial preparations instead of goat's milk.;youth;life together;;3.0;;3;6.6;;;6;6.0;Inter-generational Relations;0;0;0;Culture & Society;0;-3;3;0.811765;0.0;3.066667;0.0;0.06323;0.0
167;Djevojka sa Bijelog Brijega misli da je puno ljepše naučiti heklati od svoje bake koja ima znanje nego sa YouTube-a.;A girl from Bijeli Brijeg believes that learning to crochet from her grandma, who has experience, is better than learning from YouTube.;youth;life together;1.0;;2.0;3;6.6;6.5;;6;6.0;Inter-generational Relations;6;5;Technology;Culture & Society;Culture & Society;1;1;0.811765;1.016575;0.0;1.175719;0.06323;0.695876
168;Ljudi imaju vremena da se međusobno posjećuju.;People have time to visit each other.;women;life together;2.0;;1.0;3;11.0;6.2;;11;0.0;Socializing;6;2.0;Personal relationships;Culture & Society;Culture & Society;2;1;0.811765;2.033149;0.0;0.587859;0.048294;0.695876
169;Na Bijelom Brijegu ima dosta mladih bračnih parova koji se međusobno više druže.;In Bijeli Brijeg, there are many young married couples who spend more time together.;women;life together;;;3.0;3;6.2;11.0;;6;2.0;Personal relationships;11;0;Socializing;Culture & Society;Culture & Society;0;3;0.811765;0.0;0.0;1.763578;0.06323;0.531496
170;Žena ponese smeće od susjeda.;The woman took the trash from her next-door neighbor.;women;life together;2.0;1.0;;3;6.1;;2022-02-14;6;10.0;Us V Them;0;0;0;Culture & Society;0;1;1;0.811765;2.033149;1.022222;0.0;0.06323;0.0
171;Scene između navijača dva kluba u Mostaru ne uzrokuju podjele među mladim ljudima.;Young people are not divided by conflicts between fans of the two clubs in Mostar.;women;life together;;2.0;1.0;3;4.1;15.5;;4;10.0;Sport & Hooliganism;15;5;Inclusion;Rights & Dignity;Culture & Society;-2;1;0.811765;0.0;2.044444;0.587859;20.444444;0.481481
172;Ljudi iz inostranstva su fascinirani kako se ljudi u Mostaru druže.;The way people in Mostar hang out fascinates visitors from other countries.;women;life together;;1.0;2.0;3;11.0;20.4;;11;0.0;Socializing;20;4.0;Tourism;Culture & Society;Economic Activity & Livelihoods;-1;1;0.811765;0.0;1.022222;1.175719;0.048294;1.125
173;"Žena sa Bijelog Brijega koja je studirala na Univerzitetu ""Džemal Bijedić"" u Mostaru, imala je puno pozitivnih iskustava.";"A woman from Bijeli Brijeg had a wondersul experience while studying at the ""Džemal Bijedić"" University in Mostar.";women;life together;1.0;2.0;;3;19.3;1.3;;19;3.0;School inclusiveness;1;3.0;Social;Rights & Dignity;Culture & Society;-1;1;0.811765;1.016575;2.044444;0.0;6.133333;0.5
174;U sklopu Adventa je okićeno šetalište.;The promenade is adorned for Advent.;men;life together;;;3.0;3;3.1;3.8;;3;10.0;Open Spaces;3;8.0;Condition;Culture & Society;Culture & Society;0;3;0.811765;0.0;0.0;1.763578;0.05144;0.671233
175;Kupalište na Buni se redovno uređuje.;The Buna's swimming area is maintained on a regular basis.;youth;life together;;3.0;;3;3.8;17.2;;3;8.0;Condition;17;2.0;Public Spaces;Culture & Society;Economic Activity & Livelihoods;-3;3;0.811765;0.0;3.066667;0.0;0.05144;0.702128
176;U blizini zgrada na Bijelom Brijegu ima kante za smeće.;There are trash cans near the buildings on Bijeli Brijeg.;youth;life together;3.0;;;3;18.2;;;18;2.0;Waste prevention;0;0;0;Rights & Dignity;0;3;3;0.811765;3.049724;0.0;0.0;4.842105;0.0
177;Mladi na Bijelom Brijegu su zadovoljni sa svojim školama.;Bijeli Brijeg's students are happy with their schools.;women;life together;1.0;1.0;1.0;3;19.0;15.0;;19;0.0;Education;15;0;Youth;Rights & Dignity;Culture & Society;0;1;0.811765;1.016575;1.022222;0.587859;6.133333;0.481481
