#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
102;Šaht na cesti u Zaliku ne ugrožava mala auta.;Manholes on the street in Zalik don't endanger smaller cars.;men;peace;2.0;2.0;2.0;6;17.1;21.0;;17;10.0;Roads;21;0;Motor Vehicles;Economic Activity & Livelihoods;Culture & Society;0;2;1.380952;1.592157;2.182796;0.920635;2.342308;1.278689
103;Na izlazu gdje se skreće na magistralu je stavljena rešetka koja kupi vodu pa ljudi mogu sići kad pada kiša.;At the exit of Zalik where one turns towards the highway, a lattice is placed which gathers all the water so people come down when it's raining.;women;peace;;1.0;5.0;6;17.1;21.3;;17;10.0;Roads;21;3.0;Pedestrian Safety;Economic Activity & Livelihoods;Culture & Society;-1;1;1.380952;0.0;1.091398;2.301587;2.342308;1.278689
104;Djeca vrtićkog uzrasta se ne ponašaju nasilno.;Kindergarten kids don't behave violently.;men;peace;1.0;;5.0;6;15.0;19.6;;15;0.0;Youth;19;6.0;School Behavior;Culture & Society;Rights & Dignity;1;1;1.380952;0.796078;0.0;2.301587;0.451111;1.190083
105;Roditelji uče djecu šta je dobro i šta nije dobro prije nego što napune 18 godina.;Parents teach their kids right from wrong before they turn 18 years old.;women;peace;2.0;;4.0;6;19.5;15.0;;19;5.0;Family-based Education;15;0;Youth;Rights & Dignity;Culture & Society;2;2;1.380952;1.592157;0.0;1.84127;0.419421;0.888889
106;Ljudi u Mostaru ne čuju riječ “rat” svaki dan na vijestima.;"People in Mostar don't hear the word ""war"" every day on the news.";women;peace;4.0;;2.0;6;7.0;13.1;;7;0.0;Legacies of War;13;10.0;Traditional;Dealing with the Past;Culture & Society;4;2;1.380952;3.184314;0.0;0.920635;10.591304;1.5
107;Internet nasilje nije prisutno u vrtićkoj dobi.;Internet violence/cyber bulling is not present in the kindergarten age.;women;peace;3.0;2.0;1.0;6;19.6;6.5;;19;6.0;School Behavior;6;5;Technology;Rights & Dignity;Culture & Society;1;1;1.380952;2.388235;2.182796;0.460317;0.419421;0.931408
108;Vozači ne voze prebrzo od Megamarketa do zgrade broj 6.;Drivers don't drive too fast on the route between Megamarket and building number 6;men;peace;2.0;1.0;3.0;6;21.2;3.1;;21;2.0;Traffic;3;10.0;Open Spaces;Culture & Society;Culture & Society;1;1;1.380952;1.592157;1.091398;1.380952;1.535939;1.129412
109;Djeca mogu ići u vrtić bezbjedno.;Kids can safely go to the kindergarten.;women;peace;2.0;1.0;3.0;6;2.0;19.0;;2;0.0;Tranquility/Security;19;0;Education;Security;Rights & Dignity;1;1;1.380952;1.592157;1.091398;1.380952;0.702422;1.190083
123;Željezničko naselje je mirno mjesto.;Željezničko naselje (Neighborhood around the railway track) is a peaceful place.;men;peace;2.0;1.0;2.0;5;2.0;3.0;;2;0.0;Tranquility/Security;3;0;Public space;Security;Culture & Society;1;1;1.150794;1.592157;1.091398;0.920635;0.585352;0.941176
124;Vozači se ne parkiraju ispred ulaza u zgradu.;Drivers don't park in front of the entrances of buildings.;men;peace;;3.0;2.0;5;21.1;;;21;10.0;Parking;0;0;0;Culture & Society;0;-3;2;1.150794;0.0;3.274194;0.920635;1.27995;0.0
