#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
112.0;Djeca u Mostaru poštuju druge kulture.;Children in Mostar respect other cultures.;youth;peace;;3.0;1.0;4;15.5;;;15;5.0;Inclusion;0;0.0;0;Culture & Society;0;-3;1;1.050798;0.0;3;0.550152;0.453066;0.0
113.0;Kad se župniku župe Sv. Tome kaže da netko nema dovoljno novca, on im odonese kesu s hranom (npr. brašno, pasta, ulje, džem).;When someone tells the pastor of the parish St. Tome's says that someone doesn't have enough money, he brings them a bag of food (e.g. flour, pasta, oil, jam).;youth;peace;2.0;1.0;1.0;4;14.0;6.1;2022-02-14;14;0.0;Religion;6;10.0;Us V Them;Culture & Society;Culture & Society;1;1;1.050798;2.022346;1;0.550152;181;0.805031
114.0;U Mostaru se može se nešto pokrenuti kada se ljudi dignu.;In Mostar something can be started when people rise up [to a challenge].;women;peace;3.0;;1.0;4;6.4;3.2;;6;4.0;Activism;3;2.0;Public Ownership;Culture & Society;Culture & Society;3;1;1.050798;3.03352;0;0.550152;0.142296;0.875
115.0;Vozila nisu parkirana na površinama koje su namijenjene za igranje djece na Bijelom Brijegu.;Vehicles are not parked in locations intended for children to play in Bijeli Brijeg.;men;peace;3.0;1.0;;4;21.1;15.0;;21;10.0;Parking;15;0.0;Youth;Culture & Society;Culture & Society;2;1;1.050798;3.03352;1;0.0;1.51782;0.723404
116.0;Na Bijelom Brijegu postoji ambulanta.;There is an clinic in Bijeli Brijeg.;men;peace;;2.0;2.0;4;23.2;;;23;2.0;0;0;0.0;0;Rights & Dignity;0;-2;2;1.050798;0.0;2;1.100304;3.12069;0.0
117.0;Na Trimuši nije sve zaraslo (npr. trava i drveće).;Trimuša isn't completely overgrown (e.g. grass and trees).;youth;peace;2.0;1.0;1.0;4;3.8;3.1;;3;8.0;Condition;3;10.0;Open Spaces;Culture & Society;Culture & Society;1;1;1.050798;2.022346;1;0.550152;0.129286;0.875
118.0;Korijen problema (više) nisu HDZ, SDA i Dodik.;The root of the problem is not (no longer) HDZ, SDA and Dodik.;men;peace;;;4.0;4;9.9;9.3;;9;9.0;Political parties;9;3.0;Political functionality;Rights & Dignity;Rights & Dignity;0;4;1.050798;0.0;0;2.200608;1.115562;0.745763
119.0;Policija je uhitila manijaka, kojeg je žena s Bijelog Brijega prijavila zbog napada.;The police arrested a maniac reported by a woman from Bijeli Brijeg because of an attack.;women;peace;1.0;2.0;1.0;4;5.1;22.2;;5;10.0;Accountability;22;2.0;Gender based violence;Armed Actors;Culture & Society;-1;1;1.050798;1.011173;2;0.550152;2.496552;1.103448
120.0;Centar za socijalni rad ne ignorira žene koje žele pomoći žrtvama nasilja.;The Center for Social Work doesn't ignore women who want to help victims of violence.;women;peace;1.0;;3.0;4;22.2;9.3;;22;2.0;Gender based violence;9;3.0;Political functionality;Culture & Society;Rights & Dignity;1;1;1.050798;1.011173;0;1.650456;3.12069;0.745763
121.0;U Mostaru postoje kvartovski policajci.;In Mostar there are neighborhood police officers.;women;peace;3.0;1.0;;4;5.0;;;5;0.0;Police;0;0.0;0;Armed Actors;0;2;1;1.050798;3.03352;1;0.0;2.496552;0.0
122.0;Komunalnim radnicima se dodatno plati rad u noćnoj smjeni (npr. čišćenje ulica, pranje ulica, crtanje ulica...).;Communal laborers are paid extra for working the night shift (e.g. street cleaning, street washing, painting the streets...).;men;peace;3.0;;1.0;4;10.6;20.3;;10;6.0;Public utilities;20;3.0;Worker's protection and rights;Rights & Dignity;Economic Activity & Livelihoods;3;1;1.050798;3.03352;0;0.550152;2.110787;1.083333
123.0;U Mostaru se ljudi koji su završili fakultet mogu zaposliti.;In Mostar, people who finished university can be employed.;youth;peace;2.0;1.0;1.0;4;20.2;20.8;;20;2.0;Hiring & employment;20;8.0;Livelihoods;Economic Activity & Livelihoods;Economic Activity & Livelihoods;1;1;1.050798;2.022346;1;0.550152;1.160256;1.083333
124.0;Navijački neredi u Mostaru nemaju nacionalnu osnovu.;[Football] Fan riots in Mostar are not nationally based;men;peace;;3.0;1.0;4;4.1;8.3;;4;10.0;Sport & Hooliganism;8;3.0;Sports and hooliganism;Rights & Dignity;Culture & Society;-3;1;1.050798;0.0;3;0.550152;2.174174;1.0
139.0;Mladi pozivaju starije susjede na piće.;Young people invite older neighbors for a drink.;men;peace;1.0;1.0;1.0;3;6.6;6.12;;6;6.0;Inter-generational Relations;6;12.0;Neighbor Relations;Culture & Society;Culture & Society;0;1;0.788099;1.011173;1;0.550152;0.106722;0.603774
140.0;Ljudi na Bijelom Brijegu se pozdravljaju kad se sretnu.;People in Bijeli Brijeg greet each other when they meet.;men;peace;2.0;1.0;;3;6.3;1.1;;6;3.0;Social Trust;1;10.0;Personal value;Culture & Society;Culture & Society;1;1;0.788099;2.022346;1;0.0;0.106722;1.297297
141.0;Mnogi mladi liječnici, koji rade u KB Mostar, s obiteljima su se preselili na Bijeli Brijeg.;Many young doctors working at the Mostar Cantonal Hospital move with their families to Bijeli Brijeg.;youth;peace;1.0;;2.0;3;23.2;17.5;;23;2.0;0;17;5.0;Property Ownership (Land);Rights & Dignity;Economic Activity & Livelihoods;1;1;0.788099;1.011173;0;1.100304;2.340517;0.610169
142.0;Mostar je studentski centar, u kojem studiraju mladi iz čitave regije (Hrvatska, Sarajevo, RS...).;Mostar is a student center in which young people come to study from the whole region (Croatia, Sarajevo, RS ...).;youth;peace;2.0;;1.0;3;15.5;19.3;;15;5.0;Inclusion;19;3.0;School inclusiveness;Culture & Society;Rights & Dignity;2;1;0.788099;2.022346;0;0.550152;0.3398;0.75
143.0;U Mostaru se ljudi više brinu o svojoj obitelji, nego o svojoj karijeri.;In Mostar, people care more about their families than their careers.;youth;peace;;;3.0;3;6.2;20.8;;6;2.0;Personal relationships;20;8.0;Livelihoods;Culture & Society;Economic Activity & Livelihoods;0;3;0.788099;0.0;0;1.650456;0.106722;0.8125
